Rank,Ticker,Name,Sector,Industry,Index,AI_Score,Technical,Fundamental,Sentiment,RSI_Sentiment,Analyst_Sentiment,Upside_Sentiment,News_Sentiment,Sentiment_Source,Risk,RSI,MACD_Hist,Above_SMA50,Above_SMA200,Golden_Cross,Short_Interest,Insider_Buying,MarketCap
1,INCY,Incyte,Healthcare,Biotechnology,SP500,8.43,8.69,8.72,7.56,8.39,6.43,6.21,,rsi+analyst+upside,7.59,63.58,0.4834,1,1,0,,False,20593545216.0
2,CFG,Citizens Financial Group,Financial Services,Banks - Regional,SP500,8.41,8.36,8.44,8.47,8.77,,7.31,,rsi+upside,8.39,65.06,0.2121,1,1,0,,False,27358347264.0
3,C,Citigroup,Financial Services,Banks - Diversified,SP500,8.4,8.53,8.49,8.92,9.79,8.52,6.71,,rsi+analyst+upside,7.51,69.14,0.812,1,1,0,,False,225545502720.0
4,COLB,Columbia Banking System,Financial Services,Banks - Regional,Russell1000,8.4,8.57,8.88,7.34,7.58,,6.35,,rsi+upside,7.35,60.34,0.0218,1,1,0,,False,8641287168.0
5,HALO,Halozyme,Healthcare,Biotechnology,Russell1000,8.37,8.04,8.78,7.73,7.85,7.0,8.1,,rsi+analyst+upside,8.21,61.4,0.2837,1,1,0,,False,8375264256.0
6,KEY,KeyCorp,Financial Services,Banks - Regional,SP500,8.36,8.48,8.3,8.11,8.27,,7.48,,rsi+upside,8.49,63.06,0.0653,1,1,0,,False,23514046464.0
7,BNY,BNY Mellon,Financial Services,Banks - Diversified,SP500,8.29,8.41,8.38,7.5,8.4,7.17,5.13,,rsi+analyst+upside,8.32,63.6,0.0212,1,1,0,,False,96964771840.0
8,EWBC,East West Bancorp,Financial Services,Banks - Regional,Russell1000,8.27,8.45,8.17,8.47,9.16,8.44,6.44,,rsi+analyst+upside,8.04,66.62,0.1372,1,1,0,,False,17461542912.0
9,ROST,Ross Stores,Consumer Cyclical,Apparel Retail,SP500,8.24,8.33,8.29,8.18,8.41,8.55,7.11,,rsi+analyst+upside,7.97,63.65,0.4748,1,1,0,,False,73009774592.0
10,PNC,PNC Financial Services,Financial Services,Banks - Regional,SP500,8.14,8.34,7.98,8.96,9.88,8.1,7.06,,rsi+analyst+upside,7.64,69.51,1.1005,1,1,0,,False,91380047872.0
11,JPM,JPMorgan Chase,Financial Services,Banks - Diversified,SP500,8.13,8.23,7.96,7.35,7.67,7.08,6.67,,rsi+analyst+upside,8.93,60.67,1.3233,1,1,0,,False,831800672256.0
12,CART,Maplebear Inc.,Consumer Cyclical,Internet Retail,Russell1000,8.13,8.06,8.21,7.01,6.55,7.42,7.97,,rsi+analyst+upside,8.78,56.21,0.1563,1,1,0,,False,9998168064.0
13,MS,Morgan Stanley,Financial Services,Capital Markets,SP500,8.12,8.33,8.4,8.13,10.0,6.7,3.95,,rsi+analyst+upside,6.88,70.18,0.6904,1,1,0,,False,325993234432.0
14,CPAY,Corpay,Technology,Software - Infrastructure,SP500,8.11,6.88,8.98,6.15,5.1,8.21,7.2,,rsi+analyst+upside,9.3,50.42,-1.1259,1,1,0,,False,23098574848.0
15,WTFC,Wintrust Financial,Financial Services,Banks - Regional,Russell1000,8.05,8.51,7.78,7.66,7.69,,7.54,,rsi+upside,8.17,60.78,0.1438,1,1,0,,False,10289156096.0
16,MRP,Millrose Properties,Real Estate,REIT - Residential,Russell1000,8.03,6.99,8.38,10.0,10.0,,10.0,,rsi+upside,7.75,72.54,0.2306,1,0,0,,False,4836975616.0
17,VVV,Valvoline,Consumer Cyclical,Auto & Truck Dealerships,Russell1000,8.01,8.4,7.54,9.17,9.91,8.33,7.77,,rsi+analyst+upside,7.87,69.65,0.2945,1,1,0,,False,4655067136.0
18,HEI,HEICO (Common),Industrials,Aerospace & Defense,Russell1000,8.0,8.22,7.64,8.72,9.14,7.93,8.23,,rsi+analyst+upside,8.17,66.57,1.0121,1,1,0,,False,44095320064.0
19,SPG,Simon Property Group,Real Estate,REIT - Retail,SP500,8.0,8.58,8.08,7.84,8.88,7.02,5.57,,rsi+analyst+upside,6.72,65.5,0.179,1,1,0,,False,80358088704.0
