key,ticker,reviewed,decision,notes,follow_up_date
QBTS|tradingview,QBTS,false,needs_more_data,,
CVNA|marketbeat,CVNA,false,watchlist_only,,
ECG|fidelity,ECG,false,needs_more_data,,
EQIX|marketbeat,EQIX,false,watchlist_only,,
LYV|fidelity,LYV,false,needs_more_data,,
MDB|fidelity,MDB,false,needs_more_data,,
GS|fidelity,GS,false,needs_more_data,,
LLYVA|marketbeat,LLYVA,false,needs_more_data,,
TSM|tradingview,TSM,false,needs_more_data,,
CNM|marketbeat,CNM,false,needs_more_data,,
APLD|tradingview,APLD,false,needs_more_data,,
BWA|fidelity,BWA,false,watchlist_only,,
JOBY|fidelity,JOBY,false,needs_more_data,,
MLI|marketbeat,MLI,false,keep,,
QCOM|marketbeat,QCOM,false,needs_more_data,,
CACC|fidelity,CACC,false,keep,,
DOCN|tradingview,DOCN,false,needs_more_data,,
DVA|marketbeat,DVA,false,keep,,
EWBC|marketbeat,EWBC,false,needs_more_data,,
LUNMF|etrade,LUNMF,false,needs_more_data,,
MSOS|tradingview,MSOS,false,needs_more_data,,
SMCI|fidelity,SMCI,false,keep,,
VIAV|marketbeat:target,VIAV,false,needs_more_data,,
